iter	Passed	Remaining
731	1026	375
732	1027	374
733	1029	372
734	1030	371
735	1032	370
736	1033	368
737	1034	367
738	1035	365
739	1037	364
740	1038	363
741	1040	361
742	1042	360
743	1044	359
744	1045	357
745	1047	356
746	1048	355
747	1049	353
748	1050	352
749	1051	350
750	1052	349
751	1054	347
752	1055	346
753	1056	344
754	1057	343
755	1058	341
756	1060	340
757	1061	338
758	1062	337
759	1064	336
760	1065	334
761	1066	333
762	1067	331
763	1069	330
764	1071	329
765	1073	327
766	1074	326
767	1075	324
768	1076	323
769	1077	321
770	1078	320
771	1079	318
772	1080	317
773	1081	315
774	1082	314
775	1082	312
776	1084	311
777	1084	309
778	1086	308
779	1087	306
780	1088	305
781	1089	303
782	1090	302
783	1091	300
784	1092	299
785	1093	297
786	1094	296
787	1095	294
788	1096	293
789	1097	291
790	1098	290
791	1099	288
792	1100	287
793	1101	285
794	1102	284
795	1103	282
796	1104	281
797	1105	279
798	1106	278
799	1107	276
800	1108	275
801	1109	273
802	1110	272
803	1111	270
804	1112	269
805	1113	267
806	1114	266
807	1115	265
808	1117	263
809	1118	262
810	1119	260
811	1120	259
812	1120	257
813	1121	256
814	1122	254
815	1124	253
816	1125	252
817	1125	250
818	1126	249
819	1127	247
820	1129	246
821	1131	244
822	1133	243
823	1135	242
824	1136	241
825	1138	239
826	1139	238
827	1140	236
828	1141	235
829	1142	234
830	1144	232
831	1145	231
832	1146	229
833	1147	228
834	1148	227
835	1150	225
836	1151	224
837	1152	222
838	1154	221
839	1155	220
840	1156	218
841	1157	217
842	1159	215
843	1160	214
844	1161	213
845	1162	211
846	1164	210
847	1165	208
848	1166	207
849	1167	206
850	1168	204
851	1169	203
852	1171	201
853	1173	200
854	1174	199
855	1175	197
856	1177	196
857	1178	195
858	1179	193
859	1180	192
860	1181	190
861	1183	189
862	1184	188
863	1185	186
864	1186	185
865	1188	183
866	1189	182
867	1190	180
868	1191	179
869	1192	178
870	1193	176
871	1194	175
872	1195	173
873	1196	172
874	1197	171
875	1198	169
876	1199	168
877	1200	166
878	1201	165
879	1202	163
880	1203	162
881	1204	161
882	1205	159
883	1206	158
884	1207	156
885	1208	155
886	1209	154
887	1210	152
888	1211	151
889	1212	149
890	1213	148
891	1214	147
892	1215	145
893	1217	144
894	1217	142
895	1218	141
896	1219	140
897	1220	138
898	1221	137
899	1222	135
900	1223	134
901	1224	133
902	1225	131
903	1227	130
904	1228	128
905	1229	127
906	1230	126
907	1231	124
908	1232	123
909	1233	122
910	1234	120
911	1235	119
912	1236	117
913	1237	116
914	1238	115
915	1240	113
916	1240	112
917	1242	110
918	1243	109
919	1244	108
920	1245	106
921	1246	105
922	1247	104
923	1248	102
924	1249	101
925	1250	99
926	1251	98
927	1252	97
928	1253	95
929	1254	94
930	1255	93
931	1256	91
932	1257	90
933	1258	88
934	1259	87
935	1260	86
936	1261	84
937	1262	83
938	1263	82
939	1264	80
940	1265	79
941	1267	78
942	1268	76
943	1269	75
944	1270	73
945	1271	72
946	1272	71
